,date,open,high,low,close
0,2023-08-09T19:00:00.000Z,13.586685,13.588995,13.581735,13.582235
1,2023-08-09T20:00:00.000Z,13.582185,13.588865,13.576595,13.58331
2,2023-08-09T21:00:00.000Z,13.590205,13.6274,13.57501,13.57609
3,2023-08-09T22:00:00.000Z,13.576035,13.57868,13.57017,13.571025
4,2023-08-09T23:00:00.000Z,13.57104,13.576005,13.570485,13.573525
5,2023-08-10T00:00:00.000Z,13.573485,13.577505,13.56552,13.565545
6,2023-08-10T01:00:00.000Z,13.565555,13.579075,13.56192,13.5741
7,2023-08-10T02:00:00.000Z,13.574115,13.577495,13.561905,13.568475
8,2023-08-10T03:00:00.000Z,13.56848,13.571625,13.563695,13.570655
9,2023-08-10T04:00:00.000Z,13.570645,13.571665,13.5591,13.566
10,2023-08-10T05:00:00.000Z,13.56601,13.583315,13.5659,13.57846
11,2023-08-10T06:00:00.000Z,13.57886,13.591495,13.566255,13.584385
12,2023-08-10T07:00:00.000Z,13.584425,13.588435,13.55924,13.56279
13,2023-08-10T08:00:00.000Z,13.562515,13.58835,13.56151,13.583295
14,2023-08-10T09:00:00.000Z,13.583285,13.59164,13.57389,13.583725
15,2023-08-10T10:00:00.000Z,13.58374,13.58374,13.56625,13.57003
16,2023-08-10T11:00:00.000Z,13.569985,13.57309,13.54609,13.5554
17,2023-08-10T12:00:00.000Z,13.555395,13.564935,13.50864,13.51538
18,2023-08-10T13:00:00.000Z,13.51542,13.532865,13.50586,13.506575
19,2023-08-10T14:00:00.000Z,13.50659,13.531865,13.497985,13.514105
20,2023-08-10T15:00:00.000Z,13.514095,13.54442,13.51265,13.53503
21,2023-08-10T16:00:00.000Z,13.534985,13.53862,13.52694,13.53761
22,2023-08-10T17:00:00.000Z,13.537665,13.56669,13.532795,13.55859
23,2023-08-10T18:00:00.000Z,13.5586,13.56315,13.546765,13.547435
24,2023-08-10T19:00:00.000Z,13.547545,13.569735,13.545915,13.569355
25,2023-08-10T20:00:00.000Z,13.56844,13.58062,13.561825,13.56734
26,2023-08-10T21:00:00.000Z,13.587205,13.596985,13.565335,13.56722
27,2023-08-10T22:00:00.000Z,13.562925,13.571265,13.557645,13.55856
28,2023-08-10T23:00:00.000Z,13.55856,13.5655,13.557325,13.563855
29,2023-08-11T00:00:00.000Z,13.56521,13.569475,13.562715,13.56947
30,2023-08-11T01:00:00.000Z,13.569465,13.575985,13.561535,13.56552
31,2023-08-11T02:00:00.000Z,13.56551,13.57076,13.56429,13.566695
32,2023-08-11T03:00:00.000Z,13.5667,13.57321,13.56585,13.571505
33,2023-08-11T04:00:00.000Z,13.571495,13.57502,13.56961,13.57291
34,2023-08-11T05:00:00.000Z,13.57301,13.58217,13.564645,13.56614
35,2023-08-11T06:00:00.000Z,13.566485,13.602565,13.56629,13.600565
36,2023-08-11T07:00:00.000Z,13.600425,13.624295,13.58916,13.608285
37,2023-08-11T08:00:00.000Z,13.60828,13.620965,13.59715,13.598365
38,2023-08-11T09:00:00.000Z,13.598175,13.637315,13.59808,13.629015
39,2023-08-11T10:00:00.000Z,13.62911,13.66094,13.626185,13.65466
40,2023-08-11T11:00:00.000Z,13.65478,13.668895,13.647285,13.665595
41,2023-08-11T12:00:00.000Z,13.665725,13.72802,13.65958,13.70946
42,2023-08-11T13:00:00.000Z,13.70957,13.755035,13.69658,13.7473
43,2023-08-11T14:00:00.000Z,13.74739,13.753015,13.71507,13.73972
44,2023-08-11T15:00:00.000Z,13.739715,13.766485,13.730995,13.753755
45,2023-08-11T16:00:00.000Z,13.75356,13.755605,13.74414,13.753675
46,2023-08-11T17:00:00.000Z,13.75369,13.765275,13.74794,13.759455
47,2023-08-11T18:00:00.000Z,13.75948,13.762635,13.751555,13.753035
48,2023-08-11T19:00:00.000Z,13.75304,13.764,13.748695,13.756385
49,2023-08-11T20:00:00.000Z,13.75643,13.76893,13.75009,13.75727
50,2023-08-13T21:00:00.000Z,13.704705,13.710825,13.704705,13.704705
51,2023-08-13T22:00:00.000Z,13.66192,13.76688,13.66192,13.750005
52,2023-08-13T23:00:00.000Z,13.750015,13.751175,13.744305,13.748825
53,2023-08-14T00:00:00.000Z,13.74984,13.76029,13.745845,13.7586
54,2023-08-14T01:00:00.000Z,13.75861,13.771475,13.753045,13.76502
55,2023-08-14T02:00:00.000Z,13.765,13.77442,13.7581,13.76471
56,2023-08-14T03:00:00.000Z,13.764705,13.775445,13.76453,13.770315
57,2023-08-14T04:00:00.000Z,13.770305,13.771025,13.752095,13.75626
58,2023-08-14T05:00:00.000Z,13.75591,13.77008,13.75241,13.759645
59,2023-08-14T06:00:00.000Z,13.7597,13.77196,13.7458,13.770795
60,2023-08-14T07:00:00.000Z,13.770865,13.780475,13.743775,13.74757
61,2023-08-14T08:00:00.000Z,13.74765,13.76215,13.737315,13.75997
62,2023-08-14T09:00:00.000Z,13.75991,13.76682,13.71687,13.71955
63,2023-08-14T10:00:00.000Z,13.719735,13.73937,13.7125,13.722585
64,2023-08-14T11:00:00.000Z,13.722625,13.738705,13.721035,13.735665
65,2023-08-14T12:00:00.000Z,13.73559,13.750305,13.73119,13.74392
66,2023-08-14T13:00:00.000Z,13.74385,13.74584,13.718755,13.719005
67,2023-08-14T14:00:00.000Z,13.719025,13.723205,13.69503,13.706165
